bedpan;container;a shallow vessel used by a bedridden patient for defecation and urination
bedspread;;decorative cover for a bed
bee;insect, invertebrate, animal;any of numerous hairy-bodied insects including social and solitary species
beef_(food);food;meat from an adult domestic bovine
beehive;;a structure that provides a natural habitation for bees- as in a hollow tree
beeper;;an device that beeps when the person carrying it is being paged
beer;drink;a general name for alcoholic beverages made by fermenting a cereal (or mixture of cereals) flavored with hops
beer_bottle;bottle, container;a bottle that holds beer
beer_can;can, container;a can that holds beer
beetle;insect, invertebrate, animal;insect having biting mouthparts and front wings modified to form horny covers overlying the membranous rear wings
bell;;a hollow device made of metal that makes a ringing sound when struck
bell_pepper;vegetable, food;large bell-shaped sweet pepper in green or red or yellow or orange or black varieties
belt;clothing, fashion_accessory;a band to tie or buckle around the body (usually at the waist)
belt_buckle;;the buckle used to fasten a belt
bench;furniture;a long seat for more than one person
beret_(hat);cap_(hat), hat, fashion_accessory;a cap with no brim or bill- made of soft cloth
bib;napkin;a napkin tied under the chin of a child while eating
bible;;the sacred writings of the christian religions
bicycle;sports_equipment,land_vehicle, vehicle;a wheeled vehicle that has two wheels and is moved by foot pedals
bicycle_helmet;helmet, clothing, sports_equipment;helmet for people on bicycles intended to reduce injuries in the event of a collision or crash
bicycle_wheel;;the wheel of a bicycle
bidet;plumbing_fixture;a basin for washing genitals and anal area
billboard;signboard;large outdoor signboard
binder;office_supplies;holds loose papers or magazines
binoculars;tool;an optical instrument designed for simultaneous use by both eyes
bird;animal;warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings
birdbath;container;an ornamental basin (usually in a garden) for birds to bathe in
birdcage;;a cage in which a bird can be kept
birdfeeder;;an outdoor device that supplies food for wild birds
birdhouse;;a shelter for birds
birthday_cake;cake, baked_goods, food;decorated cake served at a birthday party
birthday_card;card;a card expressing a birthday greeting
black_sheep;sheep, mammal, animal;sheep with a black coat
blackberry;fruit, food;large sweet black or very dark purple edible aggregate fruit
blackboard;;sheet of slate- for writing with chalk
blanket;;bedding that keeps a person warm in bed
blazer;jacket, coat, clothing;lightweight jacket- often striped in the colors of a club or school
blender_(kitchenware);mixer_(kitchenware), home_appliance, kitchen_appliance, kitchenware;an electrically powered mixer that mix or chop or liquefy foods
blimp;aircraft, vehicle;a small nonrigid airship used for observation or as a barrage balloon
blinder_(for_horses);;blinds that prevent a horse from seeing something on either side
blinker;;a light that flashes on and off- used as a signal or to send messages
blouse;clothing;a top worn by women
blue_jay_(bird);bird, animal;common jay of eastern north america- bright blue with grey breast
blueberry;fruit, food;sweet edible dark-blue berries of blueberry plants
boat;watercraft, vehicle;a vessel for travel on water
bob;;a small float usually made of cork- attached to a fishing line
bobbin;;a thing around which thread/tape/film or other flexible materials can be wound
bobby_pin;jewelry, fashion_accessory;a flat wire hairpin used to hold bobbed hair in place
boiled_egg;egg, food;egg cooked briefly in the shell in gently boiling water
bolo_tie;tie, fashion_accessory;a cord fastened around the neck with an ornamental clasp and worn as a necktie
bolt;tool;a screw that screws into a nut to form a fastener
bomb;weapon;an explosive device fused to explode under specific conditions
bonnet;cap_(hat), hat, fashion_accessory;a hat tied under the chin
book;;a written work or composition that has been published
bookcase;furniture;a piece of furniture with shelves for storing books
booklet;book;a small book usually having a paper cover
bookmark;;a marker (a piece of paper or ribbon) placed between the pages of a book
boom_microphone;;a pole carrying an overhead microphone projected over a film or tv set
boot;footwear;footwear that covers the whole foot and lower leg
bottle;container;a glass or plastic vessel used for storing drinks or other liquids
bottle_cap;cover;a top (as for a bottle)
bottle_opener;kitchen_utensil, kitchenware, tool;an opener for removing caps or corks from bottles
bouquet;flower_arrangement, flower;an arrangement of flowers that is usually given as a present
bow_(decorative_ribbons);;a decorative interlacing of ribbons
bow_and_arrow;sports_equipment, weapon;a weapon consisting of arrows and the bow to shoot them
bow_tie;tie, fashion_accessory;a man's tie that ties in a bow
bowl;dish,  tableware, kitchenware;a dish that is round and open at the top for serving foods
bowler_hat;hat,fashion_accessory;a felt hat that is round and hard with a narrow brim
bowling_ball;ball, sports_equipment,bowling_equipment;a large ball with finger holes used in the sport of bowling
bowling_equipment;sports_equipment;equipment used in bowling
box; office_supplies;a (usually rectangular) container- may have a lid
boxing_glove;sports_equipment;large glove coverings the fists of a fighter worn for the sport of boxing
boy;person;a youthful male person
bracelet;jewelry, fashion_accessory;jewelry worn around the wrist for decoration
brake_light;;a red light on the rear of a motor vehicle that signals when the brakes are applied
brass_plaque;;a memorial made of brass
brassiere;clothing;an undergarment worn by women to support their breasts
bread;baked_goods, food;food made from dough of flour or meal and usually raised with yeast or baking powder and then baked
bread_bin;kitchenware;a container used to keep bread or cake in
breechcloth;clothing;a garment that provides covering for the loins
bridal_gown;dress, clothing;a gown worn by the bride at a wedding
briefcase;luggage_and_bags;a case with a handle- for carrying papers or files or books
broach;jewelry, fashion_accessory;a decorative pin worn by women
broccoli;vegetable, food;branched green undeveloped flower heads
bronze_sculpture;sculpture;sculpture cast in bronze
broom;;bundle of straws or twigs attached to a long handle- used for cleaning
brown_bear;bear, carnivore, mammal, animal;large ferocious bear of eurasia
brownie;cake, baked_goods, food;square or bar of very rich chocolate cake usually with nuts
brussels_sprouts;vegetable, food;the small edible cabbage-like buds growing along a stalk
bubble_gum;food;a kind of chewing gum that can be blown into bubbles
bucket;container;a roughly cylindrical vessel that is open at the top
building;;a structure that has a roof and walls and stands more or less permanently in one place
bull;mammal, animal;a cow with horns
bulldog;dog, carnivore, animal, mammal;a thickset short-haired dog with a large head and strong undershot lower jaw
bulldozer;tractor_(farm_equipment),  motor_vehicle, land_vehicle, vehicle;large powerful tractor- a large blade in front flattens areas of ground
bullet_train;train;a high-speed passenger train
bulletin_board;;a board that hangs on a wall- displays announcements
bulletproof_vest;vest, armor, clothing;a vest capable of resisting the impact of a bullet
bullhorn;speaker_(stero_equipment);a portable loudspeaker with built-in microphone and amplifier
bun;bread, baked_goods, food;small rounded bread either plain or sweet
bunk_bed;bed, furniture;beds built one above the other
buoy;;a float attached by rope to the seabed to mark channels in a harbor or underwater hazards
burrito;food;a flour tortilla folded around a filling
bus;motor_vehicle, land_vehicle, vehicle;a vehicle carrying many passengers- used for public transport
business_card;identity_card;a card on which are printed the person's name and business affiliation
bust;sculpture;a sculpture of the head and shoulders of a person
butter;dairy, food;an edible emulsion of fat globules made by churning milk or cream- for cooking and table use
butterfly;insect, invertebrate, animal, moths_and_butterflies;insect typically having a slender body with knobbed antennae and broad colorful wings
button;;a round fastener sewn to shirts and coats etc to fit through buttonholes
cabana;tent;a small tent used as a dressing room beside the sea or a swimming pool
cabbage;vegetable, food;variety of plants- vegetable
cabin_car;railcar_(part_of_a_train),  vehicle;a car on a freight train for use of the train crew- usually the last car on the train
cabinet;furniture;a piece of furniture resembling a cupboard with doors and shelves and drawers
cake;baked_goods, food, dessert;baked goods made from or based on a mixture of flour, sugar, eggs, and fat
cake_stand;tableware, kitchenware;a type of tableware used for serving cake and other pastries
calculator;office_supplies;a small machine that is used for mathematical calculations
calendar;;a list or register of events (appointments/social events/court cases, etc)
calf;cow, cattle, mammal, animal;young of domestic cattle
camcorder;television_camera;a portable television camera and videocassette recorder
camel;mammal, animal;cud-chewing mammal used as a draft or saddle animal in desert regions
camera;;equipment for taking photographs
camera_lens;;a lens that focuses the image in a camera
camper_(vehicle);motor_vehicle, land_vehicle, vehicle;a recreational vehicle equipped for camping out while traveling
can; container;airtight sealed metal container for food or drink or paint etc.
can_opener;kitchen_utensil, kitchenware, tool;a device for cutting cans open
canary_(bird);bird, animal;any of several small old world finches (subspecies of bird)
candle;;stick of wax with a wick in the middle
candle_holder;;a holder with sockets for candles
candy;food;a rich sweet made of flavored sugar and often combined with fruit or nuts
candy_bar;candy, food;a candy shaped as a bar
candy_cane;candy, food;a hard candy in the shape of a rod (usually with stripes)
canister;kitchenware, container;metal container for storing dry foods such as tea or flour
cannon;weapon;class of artillery which fires at a low or flat trajectory
canoe;boat, watercraft, vehicle;small and light boat- pointed at both ends- propelled with a paddle
cantaloupe_(melon);melon, fruit, food;the fruit of a cantaloup vine- small to medium-sized melon with yellowish flesh
canteen;bottle, container;a flask for carrying water- used by soldiers or travelers
cap_(hat);hat, fashion_accessory;a tight-fitting headwear
cape;cloak, clothing;a sleeveless garment like a cloak but shorter
cappuccino;coffee, drink;equal parts of espresso and steamed milk
car;motor_vehicle,  vehicle, land_vehicle;a motor vehicle with four wheels
car_battery;battery;a battery in a motor vehicle
card;;a rectangular piece of paper used to send messages (e.g. greetings or pictures)
cardigan;sweater, clothing;knitted jacket that is fastened up the front with buttons or a zipper
cargo_ship;watercraft, vehicle;a ship designed to carry cargo
carnation;flower, plant;plant with pink to purple-red spice-scented usually double flowers
carnivore;mammal, animal;a terrestrial or aquatic flesh-eating mammal
carrot;vegetable, food;orange root- important source of carotene
cart;wagon,  vehicle, land_vehicle;a heavy open wagon usually having two wheels and drawn by an animal
carton;container;a container made of cardboard for holding food or drink
cash_register;;a cashbox with an adding machine to register transactions
casserole;food;food cooked and served in a casserole
cassette;container;a container that holds a magnetic tape used for recording or playing sound or video
cassette_deck;;a tape deck for playing and recording cassette tapes
cast;bandage;bandage consisting of a firm covering that immobilizes broken bones while they heal
castle;building;a large building formerly occupied by a ruler and fortified against attack
cat;carnivore, mammal, animal;a domestic house cat
cat_furniture;;cat furniture
caterpillar;moths_and_butterflies, insect, invertebrate, animal;a wormlike and often brightly colored and hairy or spiny larva of a butterfly or moth
cattle;mammal, animal;domesticated bovine animals as a group regardless of sex or age
cauliflower;vegetable, food;edible compact head of white undeveloped flowers
cayenne_(spice);food;ground pods and seeds of pungent red peppers of the genus capsicum
cd_player;;electronic equipment for playing compact discs (cds)
ceiling_fan;home_appliance;type of fan appliance permanently mounted to the ceiling horizontally
celery;vegetable, food;widely cultivated herb with aromatic leaf stalks that are eaten raw or cooked
cell_phone;telephone;a hand-held mobile telephone
cello_(musical_instrument);musical_instrument;a large stringed instrument- seated player holds it upright while playing
centipede;invertebrate, animal;chiefly nocturnal predacious arthropod having a flattened body of 15 to 173 segments each with a pair of legs, the foremost pair being modified as prehensors
chain_mail;armor;(middle ages) flexible armor made of interlinked metal rings
chainsaw;tool;portable power saw- teeth linked to form an endless chain (high-powered cutting tool)
chair;furniture;a seat for one person, with a support for the back
chaise_longue;chair, furniture;a long chair- for reclining
chalice;cup, tableware;a bowl-shaped drinking vessel- especially the eucharistic cup
chandelier;;branched lighting fixture- often ornate- hangs from the ceiling
chap;legging_(clothing), clothing;leather leggings without a seat- worn over trousers by cowboys to protect their legs
checkbook;;a book issued to holders of checking accounts
checkerboard;gameboard;a board having 64 squares of two alternating colors
cheese;dairy, food;a solid food prepared from the pressed curd of milk
cheetah;carnivore, mammal, animal;long-legged spotted cat of africa and southwestern asia having nonretractile claws- the swiftest mammal- can be trained to run down game
cherry;fruit, food;a red fruit with a single hard stone
chessboard;checkerboard, gameboard;a checkerboard used to play chess
chicken_(animal);bird, animal;a domestic fowl bred for flesh or eggs
chickpea;legume, food;the seed of the chickpea plant- usually dried
chili_(vegetable);vegetable, food;very hot and finely tapering pepper of special pungency
chime_(musical_instrument);musical_instrument;a percussion instrument consisting of a set of tuned bells that are struck with a hammer- used as an orchestral instrument
chinaware;dish, tableware, kitchenware;dishware made of high quality porcelain
chisel;tool;an edge tool with a flat steel blade with a cutting edge
chocolate_bar;food;a bar of chocolate candy
chocolate_cake;cake, baked_goods, food;cake containing chocolate
chocolate_milk;milk, drink;milk flavored with chocolate syrup
chocolate_mousse;dessert, food;dessert mousse made with chocolate
choker;necklace, jewelry, fashion_accessory;shirt collar, animal collar, or tight-fitting necklace
chopsticks;tableware, kitchen_utensil, kitchenware;one of a pair of slender sticks used as oriental tableware to eat food with
christmas_tree;tree, plant;an ornamented evergreen used as a christmas decoration
cider;juice, drink;a beverage made from juice pressed from apples
cigar_box;box, container;a box for holding cigars
cigarette;;finely ground tobacco wrapped in paper- for smoking
cigarette_case;container;a small flat case for holding cigarettes
cincture;;a band of material around the waist that strengthens a skirt or trousers
cistern;tank_(storage_vessel), container;a tank that holds the water used to flush a toilet
clarinet_(musical_instrument);musical_instrument;a single-reed instrument with a straight tube
clasp;;a fastener (as a buckle or hook) that is used to hold two things together
cleansing_agent;;a preparation used in cleaning something
cleat_(for_securing_rope);;a fastener (usually with two projecting horns) around which a rope can be secured
clementine;tree, plant;a variety of mandarin orange
clip;;any of various small fasteners used to hold loose articles together
clipboard;;a small writing board with a clip at the top for holding papers
clippers_(for_plants);shears, scissors, tool;shears for cutting grass or shrubbery (often used in the plural)
cloak;clothing;a loose outer garment
clock;;a timepiece that shows the time of day
clock_tower;tower, building;a tower with a large clock visible high up on an outside face
closet;wardrobe, furniture;a closet is an enclosed space, a cabinet, or a cupboard in a house or building used for general storage or hanging or storing clothes.
clothes_hamper;hamper, basket, container;a hamper that holds dirty clothes to be washed or wet clothes to be dried
clothespin;;wood or plastic fastener- for holding clothes on a clothesline
clothing;;a covering designed to be worn on a person's body
clutch_bag;handbag, luggage_and_bags;a woman's strapless purse that is carried in the hand
coaster;tableware;a covering (plate or mat) that protects the surface of a table
coat;clothing;an outer garment that has sleeves and covers the body from shoulder down
coat_hanger;;a hanger that is shaped like a person's shoulders
coatrack;;a rack with hooks for temporarily holding coats and hats
cock;chicken_(animal), bird, animal;adult male chicken
cockroach;insect, invertebrate, animal;any of numerous chiefly nocturnal insects- some are domestic pests
cocktail;drink;a short mixed drink
cocktail_shaker;tableware, kitchenware;a shaker for mixing cocktails
cocoa_(beverage);drink;a beverage made from cocoa powder and milk and sugar- usually drunk hot
coconut;fruit, food;large hard-shelled brown oval nut with a fibrous husk
coffee;drink;a beverage consisting of an infusion of ground coffee beans
coffee_cup;cup, tableware, kitchenware;a cup from which coffee is drunk
coffee_maker;kitchen_appliance, home_appliance,kitchenware;a kitchen appliance for brewing coffee automatically
coffee_table;table, furniture;low table where magazines can be placed and coffee or cocktails are served
coffeepot;pot, kitchen_utensil, kitchenware;tall pot in which coffee is brewed
coil;;tubing that is wound in a spiral
coin;;a flat metal piece (usually a disc) used as money
colander;strainer, kitchenware;bowl-shaped strainer- used to wash or drain foods
coleslaw;salad, food;basically shredded cabbage
coloring_material;;any material used for its color
combination_lock;;lock that can be opened only by turning dials in a special sequence
comic_book;book;a magazine devoted to comic strips
compass;;navigational instrument for finding directions
computer_keyboard;office_supplies;a keyboard that is a data input device for computers
computer_monitor;;a device that displays signals on a computer screen
condiment;food;a preparation (a sauce or relish or spice) to enhance flavor or enjoyment
cone;;a cone-shaped object used to direct traffic
container;;any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another)
control;;a mechanism that controls the operation of a machine
convenience_store;;a store selling a limited variety of food and pharmaceutical items- open long hours for the convenience of customers
convertible_(car);car, motor_vehicle, land_vehicle,vehicle;a car that has top that can be folded or removed
cooker;kitchen_utensil,kitchen_appliance, kitchenware;a utensil for cooking
cookie;baked_goods, food, snack, dessert;any of various small flat sweet cakes (`biscuit' is the british term)
cooking_spray;food;edible oil delivered as an aerosol
cooler_(for_food);container;an insulated box for storing food often with ice
coral;marine_invertebrates;a coral
corded_phone;telephone;corded telephone
cork_(bottle_plug);;the plug in the mouth of a bottle (especially a wine bottle)
corkboard;;a sheet consisting of cork granules
corkscrew;bottle_opener;a bottle opener that pulls corks
cornbread;bread, baked_goods, food;bread made primarily of cornmeal
cornice;;a decorative framework to conceal curtain fixtures at the top of a window casing
cornmeal;food;coarsely ground corn
corset;clothing;a woman's close-fitting foundation garment
cosmetics;personal_care;a toiletry designed to beautify the body
costume;clothing;the attire characteristic of a country or a time or a social class
couch;furniture;an upholstered seat for more than one person
cougar;carnivore, mammal, animal;large american feline resembling a lion
countertop;furniture;the top side of a counter (horizontal work surface)
cover;;covering for a hole (especially a hole in the top of a container)
coverall;clothing;a loose-fitting protective garment that is worn over other clothing
cow;cattle, mammal, animal;cattle/cow
cowbell;bell;a bell hung around the neck of cow so that the cow can be easily located
cowboy_hat;hat, clothing, fashion_accessory;a hat with a wide brim and a soft crown- worn by american ranch hands
crab_(animal);invertebrate, animal, shellfishm,marine_invertebrates;decapod having eyes on short stalks and a broad flattened shell and pincers
crabmeat;shellfish, seafood, fish_(food), food;the edible flesh of any of various crabs
cracker;baked_goods, food;a thin crisp wafer
crape;food;small very thin pancake
crate;box, container;a rugged box (usually made of wood)- used for shipping
crawfish;shellfish, seafood, food, lobster, invertebrate, animal;large edible marine crustacean having a spiny carapace but lacking the large pincers of true lobsters
crayon;office_supplies;writing or drawing implement made of a colored stick of composition wax
cream;personal_care;topical preparation usually for application to the skin
cream_pitcher;pitcher_(vessel_for_liquid), tableware, kitchenware;a small pitcher for serving cream
crib;bed, furniture;baby bed with high sides made of slats
cricket_ball;ball, sports_equipment;the ball used in playing cricket
crisp_(potato_chip);food;a thin crisp slice of potato fried in deep fat
crock_pot;jar, container;an earthen jar (made of baked clay) or a modern electric crockpot
crocodile;reptile, animal;large voracious aquatic reptile having a long snout with massive jaws and sharp teeth and a body covered with bony plates- of sluggish tropical waters
croissant;baked_goods, food;very rich flaky crescent-shaped roll
crossbar;;a horizontal bar that goes across something
crouton;bread, baked_goods, food;a small piece of toasted or fried bread- served in soup or salads
crow_(bird);bird, animal;black birds having a raucous call
crowbar;;a heavy iron lever with one end forged into a wedge
crown;clothing, fashion_accessory;an ornamental jeweled headdress signifying sovereignty
crucifix;;representation of the cross on which jesus died
cruise_ship;passenger_ship, watercraft, vehicle;a passenger ship used commercially for pleasure cruises
crumb;food;small piece of e.g. bread or cake
crutch;;a wooden or metal staff that fits under the armpit and reaches to the ground
cub_(animal);carnivore, mammal, animal;the young of certain carnivorous mammals such as the bear or wolf or lion
cube;;a block in the (approximate) shape of a cube
cucumber;vegetable, food;cylindrical green fruit with thin green rind and white flesh eaten as a vegetable
cufflink;jewelry, fashion_accessory;jewelry consisting of linked buttons used to fasten the cuffs of a shirt
cup; tableware;a small open container usually used for drinking- usually has a handle
cupboard;furniture;a small room (or recess) or cabinet used for storage space
cupcake;cake, baked_goods, dessert,food;small cake baked in a muffin tin
curling_iron;home_appliance;a cylindrical home appliance that heats hair that has been curled around it
curtain;;hanging cloth used as a blind (especially for a window)
cushion;;a soft bag filled with air or padding such as feathers or foam rubber
cutting_board_(kitchenware);kitchen_utensil, kitchenware, tool;a wooden board where meats or vegetables can be cut
cylinder;container;a cylindrical container
cymbal_(musical_instrument);musical_instrument;a percussion instrument consisting of a concave brass disk
dagger;weapon;a short knife with a pointed blade used for piercing or stabbing
dairy;food;food produced from or containing the milk of mammals
dalmatian;dog, carnivore, animal, mammal;a large breed having a smooth white coat with black or brown spots
dartboard;gameboard;a circular board of wood or cork used as the target in the game of darts
date_(fruit);fruit, food;sweet edible fruit of the date palm with a single long woody seed
deadbolt;;the part of a lock that is engaged or withdrawn with a key
deck_chair;folding_chair, chair, furniture;a folding chair for use outdoors- a wooden frame supports a length of canvas
deer;mammal, animal;distinguished from bovidae by the male's having solid deciduous antlers
dental_floss;thread;a soft thread for cleaning the spaces between the teeth
desk;table, furniture;a piece of furniture with a writing surface and usually drawers or other compartments
dessert;food;a dish served as the last course of a meal
detergent;cleansing_agent;a surface-active chemical widely used in industry and laundering
diaper;;garment consisting of a folded cloth drawn up between the legs and fastened at the waist
diary;book;yearly planner book
dice;cube;a small cube with 1 to 6 spots on the six faces- used in gambling
digital_clock;clock;a clock that displays the time of day digitally
dinghy;boat, watercraft, vehicle;a small boat of shallow draft with seats and oars with which it is propelled
dining_table;furniture;a table at which meals are served
dinosaur;reptile, animal;any of numerous extinct terrestrial reptiles of the mesozoic era
dirt_bike;motorcycle, motor_vehicle,  vehicle;a lightweight motorcycle equipped with rugged tires and suspension for off-road use
dish;tableware, kitchenware;a piece of dishware normally used as a container for holding or serving food
dish_antenna;antenna;directional antenna consisting of a parabolic reflector
dishrag;;a cloth for washing dishes or cleaning in general
dishtowel;towel;a towel for drying dishes
dishwasher;home_appliance, kitchen_appliance, kitchenware;a machine for washing dishes
dishwasher_detergent;cleansing_agent;dishsoap or dish detergent designed for use in dishwashers
dispenser;container;a container so designed that the contents can be used in prescribed amounts
diving_board;;a springboard from which swimmers can dive
dixie_cup;cup,  tableware;a disposable cup made of paper- for holding drinks
dog;carnivore, animal, mammal;a common domesticated dog
dog_bed;;bed for dogs
dog_collar;;a collar for a dog
doll;toy;a toy replica of a human (not an animal)
dollar;money;a piece of paper money worth one dollar
dollhouse;toy;a house so small that it is likened to a child's plaything
dolphin;whale, mammal, animal, marine_mammal;any of various small toothed whales with a beaklike snout- larger than porpoises
domestic_ass;mammal, animal;domestic beast of burden descended from the african wild ass- patient but stubborn
door;;a swinging or sliding barrier that will close the entrance to a room or building or vehicle
door_handle;handle;attached device used to open or close a door: a knob used to open a door (often called `doorhandle' in great britain)
doormat;;a mat placed outside an exterior door for wiping the shoes before entering
doughnut;baked_goods, food, pastry;a small ring-shaped friedcake
dove;pigeon_(bird), bird, animal;any of numerous small pigeons
dragonfly;insect, invertebrate, animal;slender-bodied non-stinging insect having iridescent wings that are outspread at rest
drawer; furniture;a boxlike container in a piece of furniture- made so as to slide in and out
dress;clothing;a one-piece garment for a woman- has skirt and bodice
dress_hat;hat, fashion_accessory;a man's hat with a tall crown- usually covered with silk or with beaver fur
dress_suit;suit_(clothing), clothing;formalwear consisting of full evening dress for men
dresser;furniture;a cabinet with shelves/furniture with drawers for keeping clothes
drill;tool;a tool with a sharp rotating point for making holes in hard materials
drink;;kind of liquid which is specifically prepared for human consumption
drinking_straw;kitchen_utensil, kitchenware;a thin paper or plastic tube used to suck liquids into the mouth
drone;aircraft, vehicle;an aircraft without a pilot that is operated by remote control
dropper;;pipet consisting of a small tube with a vacuum bulb at one end for drawing liquid in and releasing it a drop at a time
drum_(musical_instrument);musical_instrument;a musical percussion instrument- usually consists of a hollow cylinder with a membrane stretched across each end
drumstick;;a stick used for playing a drum
duck;bird, animal;small web-footed broad-billed swimming bird
duckling;duck, bird, animal;young duck
